p1_idx,p2_idx,P_unbind,rand_num,time_step
27,82,0.1,0.8208706256304247,132
27,82,0.1,0.4317058764925801,133
27,82,0.1,0.8552584774994743,134
27,82,0.1,0.5340854624343901,135
27,82,0.1,0.9675683122734213,136
27,82,0.1,0.14352405275805302,137
27,82,0.1,0.7576408321978066,138
27,82,0.1,0.6743451835259333,139
27,82,0.1,0.8948675977485521,140
27,82,0.1,0.017676433531834124,141
14,68,0.1,0.7369507391577939,203
14,68,0.1,0.6323346240783048,204
14,68,0.1,0.7269842557238886,205
14,68,0.1,0.21711030440953438,206
14,68,0.1,0.7697577408413666,207
14,68,0.1,0.3796413646295512,208
14,68,0.1,0.8983628773632988,209
14,68,0.1,0.06583975632879357,210
32,68,0.1,0.507657078519661,226
32,68,0.1,0.3339342106675536,227
32,68,0.1,0.7637591657112358,228
32,68,0.1,0.8334265726966539,229
32,68,0.1,0.26759415949239806,230
32,68,0.1,0.7334582627235005,231
32,68,0.1,0.3015032463515508,232
32,68,0.1,0.11568420116182943,233
32,68,0.1,0.14888816404761696,234
32,68,0.1,0.9411440247207292,235
32,68,0.1,0.21574063718946412,236
32,68,0.1,0.6802254559193306,237
32,68,0.1,0.012250112863495422,238
45,72,0.1,0.37512844157653447,419
45,72,0.1,0.03820718390353228,420
37,78,0.1,0.09397687296677115,649
16,52,0.1,0.2922973649001559,830
16,52,0.1,0.422410586676772,831
16,52,0.1,0.4940119520499444,832
16,52,0.1,0.6566307187498605,833
16,52,0.1,0.343111318626395,834
16,52,0.1,0.9654612880150031,835
16,52,0.1,0.6577054276194155,836
16,52,0.1,0.851918551269743,837
16,52,0.1,0.1823147822526765,838
16,52,0.1,0.2697935974081094,839
16,52,0.1,0.2237778735990129,840
16,52,0.1,0.3617861242068757,841
16,52,0.1,0.9294026949788184,842
16,52,0.1,0.7187767647343317,843
16,52,0.1,0.3118247845316633,844
16,52,0.1,0.18378810192750483,845
16,52,0.1,0.41188202497674864,846
16,52,0.1,0.3724011093706745,847
16,52,0.1,0.43257930977704884,848
16,52,0.1,0.33050888756276053,849
16,52,0.1,0.914811149926341,850
16,52,0.1,0.9190613665584416,851
16,52,0.1,0.07072309383499276,852
75,37,0.1,0.495145341649471,858
75,37,0.1,0.8224842869716814,859
75,37,0.1,0.965748675854245,860
75,37,0.1,0.09710389096191985,861
3,98,0.1,0.4794413306613122,874
3,98,0.1,0.11882157153533635,875
3,98,0.1,0.0675576875140359,876
0,90,0.1,0.8013341252053264,896
0,90,0.1,0.519350397857697,897
0,90,0.1,0.30032964881624147,898
0,90,0.1,0.5864613028489134,899
0,90,0.1,0.8665010825200251,900
0,90,0.1,0.20843292389721835,901
0,90,0.1,0.3264374182621623,902
0,90,0.1,0.08186639476137203,903
